vendor_id,name,category,is_critical
V1,Vendor Name 1,utilities,True
V2,Vendor Name 2,rent,True
V3,Vendor Name 3,rent,False
V4,Vendor Name 4,supplies,True
V5,Vendor Name 5,software,False
V6,Vendor Name 6,marketing,False
V7,Vendor Name 7,utilities,False
V8,Vendor Name 8,rent,False
V9,Vendor Name 9,rent,True
V10,Vendor Name 10,logistics,False
V11,Vendor Name 11,marketing,False
V12,Vendor Name 12,rent,False
V13,Vendor Name 13,marketing,True
V14,Vendor Name 14,rent,False
V15,Vendor Name 15,software,False
V16,Vendor Name 16,utilities,False
V17,Vendor Name 17,software,True
V18,Vendor Name 18,utilities,False
V19,Vendor Name 19,software,False
V20,Vendor Name 20,utilities,False
V21,Vendor Name 21,marketing,False
V22,Vendor Name 22,marketing,False
V23,Vendor Name 23,software,False
V24,Vendor Name 24,marketing,False
V25,Vendor Name 25,rent,False
V26,Vendor Name 26,software,False
V27,Vendor Name 27,rent,False
V28,Vendor Name 28,supplies,False
V29,Vendor Name 29,utilities,False
V30,Vendor Name 30,rent,False
V31,Vendor Name 31,supplies,False
V32,Vendor Name 32,supplies,False
V33,Vendor Name 33,logistics,False
V34,Vendor Name 34,marketing,True
V35,Vendor Name 35,marketing,False
V36,Vendor Name 36,utilities,True
V37,Vendor Name 37,marketing,False
V38,Vendor Name 38,logistics,False
V39,Vendor Name 39,logistics,False
V40,Vendor Name 40,supplies,False
V41,Vendor Name 41,supplies,True
V42,Vendor Name 42,software,False
V43,Vendor Name 43,marketing,False
V44,Vendor Name 44,utilities,False
V45,Vendor Name 45,supplies,False
V46,Vendor Name 46,software,False
V47,Vendor Name 47,rent,True
V48,Vendor Name 48,rent,False
V49,Vendor Name 49,software,False
V50,Vendor Name 50,utilities,False
V51,Vendor Name 51,rent,False
V52,Vendor Name 52,marketing,True
V53,Vendor Name 53,logistics,False
V54,Vendor Name 54,utilities,True
V55,Vendor Name 55,utilities,False
V56,Vendor Name 56,software,True
V57,Vendor Name 57,rent,False
V58,Vendor Name 58,rent,False
V59,Vendor Name 59,logistics,False
V60,Vendor Name 60,rent,True
V61,Vendor Name 61,software,False
V62,Vendor Name 62,utilities,True
V63,Vendor Name 63,utilities,False
V64,Vendor Name 64,supplies,False
V65,Vendor Name 65,logistics,True
V66,Vendor Name 66,logistics,False
V67,Vendor Name 67,marketing,False
V68,Vendor Name 68,utilities,True
V69,Vendor Name 69,utilities,True
V70,Vendor Name 70,marketing,False
V71,Vendor Name 71,marketing,True
V72,Vendor Name 72,supplies,False
V73,Vendor Name 73,rent,False
V74,Vendor Name 74,utilities,False
V75,Vendor Name 75,marketing,False
V76,Vendor Name 76,logistics,False
V77,Vendor Name 77,utilities,False
V78,Vendor Name 78,utilities,False
V79,Vendor Name 79,supplies,False
V80,Vendor Name 80,rent,True
V81,Vendor Name 81,logistics,False
V82,Vendor Name 82,software,False
V83,Vendor Name 83,utilities,False
V84,Vendor Name 84,supplies,False
V85,Vendor Name 85,utilities,False
V86,Vendor Name 86,rent,False
V87,Vendor Name 87,rent,False
V88,Vendor Name 88,utilities,False
V89,Vendor Name 89,logistics,True
V90,Vendor Name 90,utilities,False
V91,Vendor Name 91,rent,True
V92,Vendor Name 92,software,False
V93,Vendor Name 93,software,True
V94,Vendor Name 94,rent,False
V95,Vendor Name 95,utilities,False
V96,Vendor Name 96,software,False
V97,Vendor Name 97,supplies,False
V98,Vendor Name 98,software,False
V99,Vendor Name 99,logistics,False
V100,Vendor Name 100,logistics,True
